word,count
VENHO,17
FUGIDA,1
TORNA-TE,7
HUMILHA-TE,2
SOBREMANEIRA,16
NUMEROSA,4
CONCEBESTE,1
CHAMARÁS,12
ISMAEL,48
AFLIÇÃO,67
FEROZ,7
HABITARÁ,29
FALAVA,68
VÊ,111
OLHEI,34
CHAMA,76
POÇO,51
BEER-LAAI-RÓI,3
BEREDE,2
TIVERA,13
SEIS,137
SENDO,199
TODO-PODEROSO,50
ANDA,78
SÊ,34
GRANDISSIMAMENTE,6
MUITAS,183
CHAMARÁ,15
ABRAÃO,250
FRUTIFICAR,5
SAIRÃO,24
PERPÉTUA,23
PEREGRINAÇÕES,8
POSSESSÃO,87
SER-LHES-EI,1
GUARDARÁS,17
GUARDAREIS,22
CIRCUNCIDADO,12
CIRCUNCIDAREIS,1
PREPÚCIO,8
OITO,64
COMPRADO,5
DINHEIRO,146
ESTRANGEIRO,87
FOR,231
EFEITO,11
INCIRCUNCISO,14
ESTIVER,68
CIRCUNCIDADA,3
EXTIRPADA,12
QUEBROU,25
SARA,47
ABENÇOAR,14
POVOS,242
RIU-SE,2
NASCER,24
DERA,47
VERDADE,475
ISAQUE,133
OUVIDO,115
ABENÇOADO,16
FÁ-LO-EI,3
MULTIPLICAR,8
GERARÁ,1
NESTE,121
TEMPO,506
DETERMINADO,43
SEGUINTE,75
ACABAR,11
FALAR,149
COMPRADOS,7
CIRCUNCIDOU,8
FALARA,32
TREZE,20
CIRCUNCIDADOS,5
APARECEU-LHE,6
ASSENTADO,90
VENDO-OS,6
CORREU,33
INCLINOU-SE,18
ACHADO,57
ROGO-TE,31
PASSES,6
TRAGA,7
JÁ,725
POUCO,149
LAVAI,2
PÉS,271
RECOSTAI-VOS,1
TRAREI,61
BOCADO,16
ESFORCEIS,1
PASSAREIS,8
ADIANTE,112
CHEGASTES,11
APRESSOU-SE,10
AMASSA,1
DEPRESSA,41
MEDIDAS,24
FLOR,77
FARINHA,70
BOLOS,22
VITELA,2
TENRA,3
MOÇO,84
APRESSOU,12
PREPARÁ-LA,1
MANTEIGA,11
LEITE,51
PREPARADO,40
DISSERAM-LHE,103
EI-LA,1
AÍ,47
ESCUTAVA,2
ATRÁS,85
VELHOS,33
ADIANTADOS,1
CESSADO,3
COSTUME,36
DELEITE,4
ENVELHECIDO,5
RIU,1
HAVERIA,10
DIFÍCIL,15
NEGOU,8
RI,1
TEMEU,26
RISTE,1
LEVANTARAM-SE,22
AQUELES,218
OLHARAM,10
ACOMPANHANDO-OS,1
OCULTAREI,2
FAÇO,71
VIRÁ,125
PODEROSA,12
CONHECIDO,42
ORDENAR,11
GUARDEM,12
AGIR,4
JUÍZO,238
FAÇA,110
VIR,147
FALADO,102
CLAMOR,67
MULTIPLICADO,7
AGRAVADO,2
DESCEREI,6
PRATICADO,2
SABÊ-LO-EI,1
VIRARAM,13
CHEGOU-SE,10
DESTRUIRÁS,9
ÍMPIO,119
HOUVER,115
JUSTOS,101
POUPARÁS,1
LONGE,164
FAÇAS,37
TAL,189
MATES,4
FARIA,15
JUIZ,41
POUPAREI,4
RESPONDEU,235
ATREVI,2
CINZA,41
FALTAREM,3
CONTINUOU,9
FALAR-LHE,3
ACHAREM,9
IRE,3
VEZ,258
FALO,34
RETIROU-SE,23
ACABOU,32
TORNOU-SE,30
ANJOS,92
LEVANTOU-SE,79
SENHORES,43
ENTRAI,10
PEÇO-VOS,15
PASSAI,19
MADRUGADA,54
LEVANTAREIS,3
IREIS,5
RUA,13
PASSAREMOS,6
PORFIOU,1
FEZ-LHES,3
BANQUETE,34
COZEU,4
LEVEDURA,2
DEITASSEM,1
CERCARAM,23
DAQUELA,56
BAIRROS,2
CHAMARAM,27
TRAZE-OS,2
CONHEÇAMOS,6
ROGO-VOS,12
FAÇAIS,33
VO-LAS,3
FAREIS,80
NADA,266
SOMBRA,78
TELHADO,14
DAÍ,18
INDIVÍDUO,1
QUERERIA,6
FAREMOS,37
ARREMESSARAM-SE,1
APROXIMARAM-SE,11
ARROMBAR,1
ESTENDERAM,17
FECHARAM,8
CEGUEIRA,5
CANSARAM,1
GENRO,13
QUANTOS,50
TIRA-OS,1
VAMOS,32
AUMENTADO,4
DESTRUÍ-LO,1
GENROS,2
TOMAR,56
LEVANTAI-VOS,29
SAÍ,39
TIDO,16
ZOMBADOR,2
AMANHECER,4
APERTARAM,2
PEREÇAS,6
DEMORAVA-SE,1
PEGARAM,5
SENDO-LHE,4
MISERICORDIOSO,19
TIRARAM-NO,1
PUSERAM-NO,2
TIRANDO-OS,4
ESCAPA-TE,2
OLHES,3
PARES,1
ESCAPA,3
LÁ,126
ENGRANDECESTE,3
MISERICÓRDIA,166
POSSO,31
ESCAPAR,16
APANHE,2
MORRA,43
PERTO,108
