word,count
PRISIONEIRO,25
CONVOCAR,3
DEZOITO,15
TREINADOS,4
NASCIDOS,14
PERSEGUIÇÃO,21
INIMIGOS,271
DÃ,70
ATACOU-OS,2
DURANTE,324
GRUPOS,21
DERROTOU,34
PERSEGUINDO-OS,2
HOBÁ,1
DAMASCO,56
RECUPEROU,12
PRISIONEIROS,50
VOLTANDO,17
VITÓRIA,49
ALIADO,3
ENCONTRO,238
SAVÉ,1
MELQUISEDEQUE,7
SALÉM,3
SACERDOTE,476
ALTÍSSIMO,54
CRIADOR,28
BENDITO,33
ENTREGOU,112
"MÃOS""",20
DÍZIMO,23
"""DÊ-ME",8
PESSOAS,99
PODE,310
FICAR,88
"BENS""",2
LEVANTADAS,2
JURO,43
ACEITAREI,8
PERTENCE,85
CORDÃO,13
CORREIA,2
SANDÁLIA,5
VENHA,89
DIZER,257
‘EU,45
ENRIQUECI,1
ABRÃO’,1
COMERAM,49
PORÇÃO,86
PERTENCENTE,12
ACOMPANHARAM,13
RECEBAM,13
"PORÇÃO""",1
DESSAS,87
NUMA,220
VISÃO,79
TENHA,241
ESCUDO,35
RECOMPENSA,50
"""Ó",51
SOBERANO,333
DARÁS,8
CONTINUO,3
HERDEIRO,18
POSSUO,3
ELIÉZER,15
ACRESCENTOU,45
"""TU",42
SERVO,418
SEGUINTE,211
RESPOSTA,66
"""SEU",13
"HERDEIRO""",1
LEVANDO-O,4
DISSE-LHE,56
"""OLHE",10
CONTE,13
"CONTÁ-LAS""",1
"""ASSIM",130
"DESCENDÊNCIA""",4
CREU,17
CREDITADO,7
JUSTIÇA,355
"""EU",213
TIREI,41
DAR-LHE,18
"HERANÇA""",4
PERGUNTOU-LHE,21
SABER,82
TOMAREI,11
POSSE,81
RESPONDEU-LHE,16
"""TRAGA-ME",6
NOVILHA,14
CABRA,17
CARNEIRO,84
ROLINHA,3
"POMBINHO""",1
CORTOU-OS,3
METADE,96
FRENTE,262
CORTOU,13
NISSO,35
RAPINA,6
DESCER,36
CADÁVERES,33
ENXOTAVA,1
PÔR-DO-SOL,21
TOMADO,27
EIS,21
DENSAS,19
APAVORANTES,1
"""SAIBA",4
ESTRANGEIROS,97
PERTENCERÁ,14
ESCRAVIZADOS,8
OPRIMIDOS,22
QUATROCENTOS,34
CASTIGAREI,41
NAÇÃO,261
SAIRÃO,20
MUITOS,329
IRÁ,97
PAZ,247
ANTEPASSADOS,358
SEPULTADO,60
VELHICE,15
QUARTA,20
VOLTARÃO,32
CÁ,33
MALDADE,98
ATINGIU,20
MEDIDA,43
"COMPLETA""",2
SOL,143
PÔS,115
ESCURIDÃO,30
FOGAREIRO,1
ESFUMAÇANTE,1
TOCHA,5
ACESA,5
PEDAÇOS,41
"""AOS",3
RIBEIRO,40
QUENEUS,8
QUENEZEUS,1
CADMONEUS,1
HITITAS,39
"JEBUSEUS""",1
DERA,55
SERVA,59
EGÍPCIA,4
HAGAR,14
IMPEDIU,10
POSSUA,4
TALVEZ,44
POSSA,77
FORMAR,4
"DELA""",4
ATENDEU,18
PROPOSTA,14
ACONTECEU,94
FAZIA,54
DEZ,182
OCASIÃO,96
POSSUIU,7
GRÁVIDA,15
COMEÇOU,175
OLHAR,36
DESPREZO,36
SENHORA,11
